stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
"1845383806","2021-02-07 13:19:05","George P. Shultz, Reagan’s Longtime Secretary Of State, Dies At 100","https://www.huffpost.com/entry/george-p-schultz-dies_n_60202defc5b6c56a89a1f578","en","True","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1845590485","2021-02-07 21:35:03","U.S. To Rejoin U.N. Human Rights Council, Reversing Trump's Withdrawal","https://www.huffpost.com/entry/us-to-rejoin-un-human-rights-council_n_60209d41c5b6173dd2f740f7","en","True","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1846473863","2021-02-08 16:12:10","Allergies Are Nothing To Sneeze At As Global Warming Triggers Earlier Pollen","https://www.huffpost.com/entry/pollen-counts-2021-climate-change_n_6021a7aac5b6f38d06e649d9","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1846525164","2021-02-08 18:31:11","Montana Senator Backed An Extremist At Interior But Rejects A Native American Woman","https://www.huffpost.com/entry/steve-daines-deb-haaland-interior-department-nominee-biden_n_6021b549c5b6c56a89a3b45d","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1847237404","2021-02-09 11:19:33","Fossil Fuel Air Pollution Linked To 1 In 5 Deaths Worldwide, New Harvard Study Finds","https://www.huffpost.com/entry/fossil-fuel-air-pollution_n_6022a51dc5b6c56a89a49185","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1847433220","2021-02-09 16:09:36","Baratunde Thurston On 'How To Citizen' And The Importance Of Stepping Into Power","https://www.huffpost.com/entry/baratunde-thurston-how-to-citizen_n_6022dc16c5b6173dd2fa07a2","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1847468625","2021-02-09 16:11:26","How A Trade Dispute Between 2 Korean Firms Could Jam Biden’s Electric Car Plans","https://www.huffpost.com/entry/biden-electric-vehicle-korean_n_6022dce9c5b689330e333bfd","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1847958911","2021-02-10 05:45:02","Ikea Has An Ambitious Plan To Make Its Cheap Furniture Last Forever","https://www.huffpost.com/entry/ikea-plan-cheap-furniture-last-climate-footprint_n_6021a3a3c5b6173dd2f8b30b","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1848385962","2021-02-10 13:15:00","Bernie Sanders Asks Neera Tanden About Her 'Vicious Attacks' On Progressives","https://www.huffpost.com/entry/bernie-sanders-neera-tanden-confirmation-hearing_n_60241857c5b6c56a89a63d97","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1848553704","2021-02-10 18:13:13","U.S. Trade Authorities Deal Blow To Biden’s Electric Vehicle Plans","https://www.huffpost.com/entry/biden-electric-vehicles_n_602464f6c5b61e9c458e3558","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
